type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Word,11.403,0.08000000000000007,default,default,,,,,,,11.483,One,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,0.0,135.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One",
Word,11.543,0.261000000000001,default,default,,,,,,,11.804,post,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,4.0,139.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post",
Word,11.824,0.0600000000000005,default,default,,,,,,,11.884,of,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,9.0,144.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of",
Word,11.924,0.040000000000000924,default,default,,,,,,,11.964,a,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,12.0,147.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a",
Word,12.004,0.2810000000000006,default,default,,,,,,,12.285,dog's,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,14.0,149.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's",
Word,12.325,0.26000000000000156,default,default,,,,,,,12.585,photo,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,20.0,155.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo",
Word,12.605,0.05999999999999872,default,default,,,,,,,12.665,in,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,26.0,161.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in",
Word,12.685,0.05999999999999872,default,default,,,,,,,12.745,the,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,29.0,164.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the",
Word,12.806,0.16000000000000014,default,default,,,,,,,12.966,Ring,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,33.0,168.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring",
Word,13.026,0.120000000000001,default,default,,,,,,,13.146,app,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,38.0,173.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app",
Word,13.166,0.22100000000000009,default,default,,,,,,,13.387,starts,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,42.0,177.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts",
Word,13.467,0.3200000000000003,default,default,,,,,,,13.787,outdoor,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,49.0,184.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor",
Word,13.808,0.3800000000000008,default,default,,,,,,,14.188,cameras,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,57.0,192.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras",
Word,14.228,0.261000000000001,default,default,,,,,,,14.489,looking,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,65.0,200.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking",
Word,14.529,0.11999999999999922,default,default,,,,,,,14.649,for,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,73.0,208.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for",
Word,14.669,0.019999999999999574,default,default,,,,,,,14.689,a,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,77.0,212.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a",
Word,14.749,0.26099999999999923,default,default,,,,,,,15.01,match.,5.0,One post of a dog's photo in the ring app starts outdoor cameras looking for a match. ,english,79.0,214.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match.",
Sentence,15.329999,3.2870020000000006,default,default,,,,,,,18.617001000000002,Search party from ring uses ai to help families find lost dogs. ,,,,,,,
Word,15.33,0.22100000000000009,default,default,,,,,,,15.551,Search,6.0,Search party from ring uses ai to help families find lost dogs. ,english,0.0,221.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search",
Word,15.591,0.22000000000000064,default,default,,,,,,,15.811,Party,6.0,Search party from ring uses ai to help families find lost dogs. ,english,7.0,228.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party",
Word,15.851,0.14100000000000001,default,default,,,,,,,15.992,from,6.0,Search party from ring uses ai to help families find lost dogs. ,english,13.0,234.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from",
Word,16.032,0.17999999999999972,default,default,,,,,,,16.212,Ring,6.0,Search party from ring uses ai to help families find lost dogs. ,english,18.0,239.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring",
Word,16.272,0.18100000000000094,default,default,,,,,,,16.453,uses,6.0,Search party from ring uses ai to help families find lost dogs. ,english,23.0,244.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses",
Word,16.653,0.240000000000002,default,default,,,,,,,16.893,AI,6.0,Search party from ring uses ai to help families find lost dogs. ,english,28.0,249.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai",
Word,16.934,0.05999999999999872,default,default,,,,,,,16.994,to,6.0,Search party from ring uses ai to help families find lost dogs. ,english,31.0,252.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to",
Word,17.034,0.16000000000000014,default,default,,,,,,,17.194,help,6.0,Search party from ring uses ai to help families find lost dogs. ,english,34.0,255.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help",
Word,17.254,0.3409999999999975,default,default,,,,,,,17.595,families,6.0,Search party from ring uses ai to help families find lost dogs. ,english,39.0,260.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families",
Word,17.675,0.2809999999999988,default,default,,,,,,,17.956,find,6.0,Search party from ring uses ai to help families find lost dogs. ,english,48.0,269.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find",
Word,17.996,0.240000000000002,default,default,,,,,,,18.236,lost,6.0,Search party from ring uses ai to help families find lost dogs. ,english,53.0,274.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost",
Word,18.276,0.3410000000000011,default,default,,,,,,,18.617,dogs.,6.0,Search party from ring uses ai to help families find lost dogs. ,english,58.0,279.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs.",
Sentence,18.896998999999997,3.166002,default,default,,,,,,,22.063000999999996,"Since launch, more than a dog a day has been reunited with their family. ",,,,,,,
Word,18.897,0.22100000000000009,default,default,,,,,,,19.118,Since,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,0.0,285.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since",
Word,19.178,0.3000000000000007,default,default,,,,,,,19.478,"launch,",7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,6.0,291.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch,",
Word,19.579,0.14000000000000057,default,default,,,,,,,19.719,more,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,14.0,299.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more",
Word,19.739,0.120000000000001,default,default,,,,,,,19.859,than,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,19.0,304.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than",
Word,19.899,0.019999999999999574,default,default,,,,,,,19.919,a,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,24.0,309.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a",
Word,19.979,0.26099999999999923,default,default,,,,,,,20.24,dog,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,26.0,311.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog",
Word,20.28,0.03999999999999915,default,default,,,,,,,20.32,a,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,30.0,315.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a",
Word,20.36,0.22100000000000009,default,default,,,,,,,20.581,day,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,32.0,317.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day",
Word,20.621,0.120000000000001,default,default,,,,,,,20.741,has,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,36.0,321.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has",
Word,20.781,0.14000000000000057,default,default,,,,,,,20.921,been,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,40.0,325.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been",
Word,20.961,0.4610000000000021,default,default,,,,,,,21.422,reunited,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,45.0,330.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited",
Word,21.442,0.10000000000000142,default,default,,,,,,,21.542,with,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,54.0,339.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with",
Word,21.583,0.120000000000001,default,default,,,,,,,21.703,their,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,59.0,344.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their",
Word,21.743,0.3200000000000003,default,default,,,,,,,22.063,family.,7.0,"Since launch, more than a dog a day has been reunited with their family. ",english,65.0,350.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family.",
Sentence,22.183999,2.224002,default,default,,,,,,,24.408001,Be a hero in your neighborhood with search party. ,,,,,,,
Word,22.184,0.14000000000000057,default,default,,,,,,,22.324,Be,8.0,Be a hero in your neighborhood with search party. ,english,0.0,358.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be",
Word,22.364,0.03999999999999915,default,default,,,,,,,22.404,a,8.0,Be a hero in your neighborhood with search party. ,english,3.0,361.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a",
Word,22.484,0.2809999999999988,default,default,,,,,,,22.765,hero,8.0,Be a hero in your neighborhood with search party. ,english,5.0,363.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero",
Word,22.805,0.05999999999999872,default,default,,,,,,,22.865,in,8.0,Be a hero in your neighborhood with search party. ,english,10.0,368.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in",
Word,22.905,0.14000000000000057,default,default,,,,,,,23.045,your,8.0,Be a hero in your neighborhood with search party. ,english,13.0,371.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your",
Word,23.085,0.4809999999999981,default,default,,,,,,,23.566,neighborhood,8.0,Be a hero in your neighborhood with search party. ,english,18.0,376.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood",
Word,23.647,0.14000000000000057,default,default,,,,,,,23.787,with,8.0,Be a hero in your neighborhood with search party. ,english,31.0,389.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with",
Word,23.827,0.23999999999999844,default,default,,,,,,,24.067,Search,8.0,Be a hero in your neighborhood with search party. ,english,36.0,394.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search",
Word,24.107,0.30100000000000193,default,default,,,,,,,24.408,Party.,8.0,Be a hero in your neighborhood with search party. ,english,43.0,401.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party.",
Sentence,24.667999,3.1270020000000023,default,default,,,,,,,27.795001,Available to everyone for free right now. ,,,,,,,
Word,24.668,0.36100000000000065,default,default,,,,,,,25.029,Available,9.0,Available to everyone for free right now. ,english,0.0,408.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available",
Word,25.049,0.08000000000000185,default,default,,,,,,,25.129,to,9.0,Available to everyone for free right now. ,english,10.0,418.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to",
Word,25.31,0.4610000000000021,default,default,,,,,,,25.771,everyone,9.0,Available to everyone for free right now. ,english,13.0,421.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone",
Word,26.211,0.2610000000000028,default,default,,,,,,,26.472,for,9.0,Available to everyone for free right now. ,english,22.0,430.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for",
Word,26.512,0.32099999999999795,default,default,,,,,,,26.833,free,9.0,Available to everyone for free right now. ,english,26.0,434.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for free",
Word,27.274,0.21999999999999886,default,default,,,,,,,27.494,right,9.0,Available to everyone for free right now. ,english,31.0,439.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for free right",
Word,27.574,0.22100000000000009,default,default,,,,,,,27.795,now.,9.0,Available to everyone for free right now. ,english,37.0,445.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for free right now.",
Sentence,28.094998999999998,1.7840020000000025,default,default,,,,,,,29.879001,Join the neighborhood at ring.com,,,,,,,
Word,28.095,0.17999999999999972,default,default,,,,,,,28.275,Join,10.0,Join the neighborhood at ring.com,english,0.0,450.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for free right now. Join",
Word,28.295,0.06099999999999994,default,default,,,,,,,28.356,the,10.0,Join the neighborhood at ring.com,english,5.0,455.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for free right now. Join the",
Word,28.396,0.3999999999999986,default,default,,,,,,,28.796,neighborhood,10.0,Join the neighborhood at ring.com,english,9.0,459.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for free right now. Join the neighborhood",
Word,28.837,0.05999999999999872,default,default,,,,,,,28.897,at,10.0,Join the neighborhood at ring.com,english,22.0,472.0,"This is milo. Pets are family. But every year, 10 million go missing. And the way we look for them hasn't changed in years. Until now. One post of a dog's photo in the ring app starts outdoor cameras looking for a match. Search party from ring uses ai to help families find lost dogs. Since launch, more than a dog a day has been reunited with their family. Be a hero in your neighborhood with search party. Available to everyone for free right now. Join the neighborhood at",
